                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.846,                 4.8737,                 3.2496,                      0,                      0,                      0,                      0,                 2.1647,                 4.8416,                 2.4768,                      0,                      0,                      0
                      2,                 3.2945,                 4.7104,                 3.6462,                      0,                      0,                      0,                      0,                 2.1593,                 4.8397,                 2.4776,             5.2079e-06,             5.2079e-06,             5.2079e-06
                      3,                 3.1299,                 4.6416,                 2.9821,                      0,                      0,                      0,                      0,                 2.1454,                 4.8434,                 2.4611,             1.0312e-05,             1.0312e-05,             1.0312e-05
                      4,                 3.2701,                 4.7899,                 4.1228,                      0,                      0,                      0,                      0,                 2.1158,                 4.8385,                 2.4434,             1.5311e-05,             1.5311e-05,             1.5311e-05
                      5,                 2.6147,                 4.7675,                 3.0278,                      0,                      0,                      0,                      0,                 2.1248,                 4.8468,                 2.4336,             2.0207e-05,             2.0207e-05,             2.0207e-05
                      6,                 3.0803,                 4.6748,                  3.253,                      0,                      0,                      0,                      0,                 2.1271,                 4.8581,                  2.422,             2.4998e-05,             2.4998e-05,             2.4998e-05
                      7,                 3.2798,                  4.782,                 4.4114,                      0,                      0,                      0,                      0,                 2.0808,                 4.8366,                 2.4074,             2.9685e-05,             2.9685e-05,             2.9685e-05
                      8,                 3.5271,                 4.7885,                 4.2048,                      0,                      0,                      0,                      0,                 2.0522,                 4.8265,                 2.4038,             3.4268e-05,             3.4268e-05,             3.4268e-05
                      9,                 2.7534,                 4.8053,                 3.7313,                      0,                      0,                      0,                      0,                  2.055,                 4.8235,                 2.3952,             3.8747e-05,             3.8747e-05,             3.8747e-05
                     10,                 3.2346,                 4.8173,                  2.816,                      0,                      0,                      0,                      0,                  2.067,                 4.8183,                 2.4004,             4.3122e-05,             4.3122e-05,             4.3122e-05
                     11,                  3.457,                 4.7059,                 3.1984,                      0,                      0,                      0,                      0,                  2.073,                 4.7917,                 2.4186,             4.7393e-05,             4.7393e-05,             4.7393e-05
                     12,                 3.0957,                 4.5981,                 2.4988,                      0,                      0,                      0,                      0,                 2.0905,                 4.7568,                  2.444,             5.1559e-05,             5.1559e-05,             5.1559e-05
                     13,                 3.1585,                 4.6347,                 2.3566,                      0,                      0,                      0,                      0,                  2.081,                 4.7336,                 2.4782,             5.5621e-05,             5.5621e-05,             5.5621e-05
                     14,                 1.9858,                 4.0964,                 2.3336,                      0,                      0,                      0,                      0,                 2.0922,                 4.7315,                 2.4625,             5.9579e-05,             5.9579e-05,             5.9579e-05
                     15,                 3.1315,                 4.6068,                  2.461,                      0,                      0,                      0,                      0,                 2.0663,                 4.7379,                 2.4435,             6.3433e-05,             6.3433e-05,             6.3433e-05
                     16,                  3.505,                 4.6216,                 2.3231,                      0,                      0,                      0,                      0,                 2.0744,                 4.7099,                 2.4918,             6.7183e-05,             6.7183e-05,             6.7183e-05
