taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2145815	Trochosa terricola Thorell, 1856	2145815	Trochosa terricola Thorell, 1856	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Lycosidae	3417	Trochosa	2145780	Trochosa terricola	2145815	NE
3253046	Thaididae	7360	Austrochilidae	49	FAMILY	SYNONYM	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Austrochilidae	7360					
4406135	Veigaia Oudemans, 1905	4406135	Veigaia Oudemans, 1905	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Mesostigmata	1109	Veigaiidae	6079	Veigaia	4406135			
4546972	Belbidae	9712	Damaeidae	1	FAMILY	SYNONYM	Animalia	1	Arthropoda	54	Arachnida	367	Sarcoptiformes	542	Damaeidae	9712					
6718878	Acacesia tenella (L.Koch, 1871)	6718878	Acacesia tenella (L.Koch, 1871)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Araneidae	7359	Acacesia	2158456	Acacesia tenella	6718878	NE
8828009	Kleemannia Oudemans, 1930	8828009	Kleemannia Oudemans, 1930	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Mesostigmata	1109	Ameroseiidae	2834	Kleemannia	8828009			
9870771	BOLD:AAL9510	9870771	BOLD:AAL9510	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496							
9948221	BOLD:AAL7226	9948221	BOLD:AAL7226	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496							
2145780	Trochosa Koch, 1847	2145780	Trochosa Koch, 1847	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Lycosidae	3417	Trochosa	2145780			
2148276	Anapis monteverde Platnick & Shadab, 1978	2148276	Anapis monteverde Platnick & Shadab, 1978	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Anapidae	7356	Anapis	2148261	Anapis monteverde	2148276	NE
3253770	Steganacaridae	3639	Phthiracaridae	2	FAMILY	SYNONYM	Animalia	1	Arthropoda	54	Arachnida	367	Sarcoptiformes	542	Phthiracaridae	3639					
6892723	Opisthacanthus elatus (Gervais, 1844)	6892723	Opisthacanthus elatus (Gervais, 1844)	75	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Hormuridae	8228099	Opisthacanthus	4656289	Opisthacanthus elatus	6892723	NE
10717884	Acanthoctenus lamarrei Arizala, Labarque & Polotow, 2021	10717884	Acanthoctenus lamarrei Arizala, Labarque & Polotow, 2021	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Ctenidae	7363	Acanthoctenus	2152313	Acanthoctenus lamarrei	10717884	NE
2154145	Sericopelma generala Valerio, 1980	2154145	Sericopelma generala Valerio, 1980	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Sericopelma	2154136	Sericopelma generala	2154145	NE
