                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4895,                 5.1319,                 4.9745,                      0,                      0,                      0,                      0,                 2.7547,                 5.1397,                 4.1591,                      0,                      0,                      0
                      2,                 4.3549,                 5.0359,                 4.8509,                      0,                      0,                      0,                      0,                 2.7546,                 5.1395,                 4.1595,             5.2079e-06,             5.2079e-06,             5.2079e-06
                      3,                  2.664,                 5.1597,                 4.4658,                      0,                      0,                      0,                      0,                 2.7545,                  5.139,                 4.1593,             1.0312e-05,             1.0312e-05,             1.0312e-05
                      4,                 4.7211,                 5.0221,                 4.2307,                      0,                      0,                      0,                      0,                 2.7542,                 5.1397,                 4.1599,             1.5311e-05,             1.5311e-05,             1.5311e-05
                      5,                 3.2471,                 5.1622,                 4.5384,                      0,                      0,                      0,                      0,                 2.7539,                 5.1368,                   4.16,             2.0207e-05,             2.0207e-05,             2.0207e-05
                      6,                 2.2619,                 5.1583,                 4.5175,                      0,                      0,                      0,                      0,                 2.7559,                 5.1349,                 4.1598,             2.4998e-05,             2.4998e-05,             2.4998e-05
                      7,                 3.6862,                  5.117,                 4.8523,                      0,                      0,                      0,                      0,                 2.7547,                 5.1378,                   4.16,             2.9685e-05,             2.9685e-05,             2.9685e-05
                      8,                 4.2872,                  5.003,                 4.9259,                      0,                      0,                      0,                      0,                 2.7558,                 5.1378,                 4.1601,             3.4268e-05,             3.4268e-05,             3.4268e-05
                      9,                 3.0979,                 4.9979,                 4.5313,                      0,                      0,                      0,                      0,                 2.7561,                 5.1356,                 4.1606,             3.8747e-05,             3.8747e-05,             3.8747e-05
                     10,                 3.5423,                 5.1353,                 4.8507,                      0,                      0,                      0,                      0,                 2.7569,                 5.1361,                 4.1609,             4.3122e-05,             4.3122e-05,             4.3122e-05
                     11,                 4.1979,                 4.9831,                  4.807,                      0,                      0,                      0,                      0,                 2.7567,                 5.1361,                 4.1607,             4.7393e-05,             4.7393e-05,             4.7393e-05
                     12,                 3.7751,                 5.0036,                 4.3094,                      0,                      0,                      0,                      0,                  2.757,                 5.1371,                 4.1609,             5.1559e-05,             5.1559e-05,             5.1559e-05
                     13,                 4.3763,                 4.8116,                 4.5206,                      0,                      0,                      0,                      0,                 2.7571,                 5.1368,                 4.1606,             5.5621e-05,             5.5621e-05,             5.5621e-05
                     14,                 2.3961,                 5.1166,                 4.3443,                      0,                      0,                      0,                      0,                 2.7571,                 5.1368,                 4.1609,             5.9579e-05,             5.9579e-05,             5.9579e-05
                     15,                 4.6664,                 4.8611,                 4.2931,                      0,                      0,                      0,                      0,                 2.7557,                 5.1354,                 4.1616,             6.3433e-05,             6.3433e-05,             6.3433e-05
                     16,                 4.5969,                 4.6101,                 4.5091,                      0,                      0,                      0,                      0,                 2.7577,                 5.1351,                 4.1617,             6.7183e-05,             6.7183e-05,             6.7183e-05
                     17,                 3.2882,                 4.9847,                  4.358,                      0,                      0,                      0,                      0,                 2.7577,                 5.1367,                 4.1617,             7.0829e-05,             7.0829e-05,             7.0829e-05
                     18,                 2.7807,                 5.2201,                 4.2755,                      0,                      0,                      0,                      0,                 2.7577,                 5.1367,                 4.1617,             7.4371e-05,             7.4371e-05,             7.4371e-05
                     19,                 3.4695,                 4.6596,                 4.4001,                      0,                      0,                      0,                      0,                 2.7584,                 5.1357,                 4.1618,             7.7808e-05,             7.7808e-05,             7.7808e-05
                     20,                 3.6968,                   4.85,                 4.3333,                      0,                      0,                      0,                      0,                 2.7584,                 5.1357,                 4.1618,             8.1141e-05,             8.1141e-05,             8.1141e-05
                     21,                 3.4174,                 4.8068,                 4.3666,                      0,                      0,                      0,                      0,                 2.7597,                 5.1353,                  4.162,              8.437e-05,              8.437e-05,              8.437e-05
                     22,                 4.6003,                 4.7267,                  4.252,                      0,                      0,                      0,                      0,                 2.7597,                 5.1353,                  4.162,             8.7495e-05,             8.7495e-05,             8.7495e-05
                     23,                 3.5733,                 4.4564,                 4.4805,                      0,                      0,                      0,                      0,                 2.7582,                 5.1358,                 4.1622,             9.0516e-05,             9.0516e-05,             9.0516e-05
                     24,                 3.9794,                 4.3211,                 4.1793,                      0,                      0,                      0,                      0,                 2.7582,                 5.1358,                 4.1622,             9.3433e-05,             9.3433e-05,             9.3433e-05
                     25,                 2.3739,                 5.4963,                 4.2275,                      0,                      0,                      0,                      0,                 2.7607,                 5.1368,                 4.1624,             9.6245e-05,             9.6245e-05,             9.6245e-05
                     26,                 4.1438,                 4.4184,                 4.3681,                      0,                      0,                      0,                      0,                 2.7607,                 5.1368,                 4.1624,             9.8954e-05,             9.8954e-05,             9.8954e-05
                     27,                 4.0094,                  4.511,                  4.406,                      0,                      0,                      0,                      0,                 2.7615,                 5.1356,                 4.1621,             0.00010156,             0.00010156,             0.00010156
                     28,                 3.9851,                 4.3739,                 4.2485,                      0,                      0,                      0,                      0,                 2.7615,                 5.1356,                 4.1621,             0.00010406,             0.00010406,             0.00010406
                     29,                 4.0088,                 4.5426,                 4.4153,                      0,                      0,                      0,                      0,                 2.7628,                 5.1345,                 4.1622,             0.00010645,             0.00010645,             0.00010645
                     30,                 3.8146,                 4.3511,                  4.308,                      0,                      0,                      0,                      0,                 2.7628,                 5.1345,                 4.1622,             0.00010875,             0.00010875,             0.00010875
                     31,                 4.2363,                 4.0567,                 4.5196,                      0,                      0,                      0,                      0,                 2.7634,                 5.1355,                 4.1623,             0.00011093,             0.00011093,             0.00011093
                     32,                 3.5126,                 4.1485,                 4.3317,                      0,                      0,                      0,                      0,                 2.7634,                 5.1355,                 4.1623,             0.00011302,             0.00011302,             0.00011302
                     33,                 4.5283,                 4.5401,                 4.2206,                      0,                      0,                      0,                      0,                 2.7655,                 5.1359,                 4.1627,               0.000115,               0.000115,               0.000115
                     34,                 4.3851,                 4.7175,                 4.2272,                      0,                      0,                      0,                      0,                 2.7655,                 5.1359,                 4.1627,             0.00011687,             0.00011687,             0.00011687
                     35,                 3.8591,                 4.4975,                 4.2673,                      0,                      0,                      0,                      0,                 2.7664,                 5.1387,                 4.1632,             0.00011864,             0.00011864,             0.00011864
                     36,                 4.3874,                 4.2665,                 4.2777,                      0,                      0,                      0,                      0,                 2.7664,                 5.1387,                 4.1632,             0.00012031,             0.00012031,             0.00012031
                     37,                 4.2468,                 4.1274,                 4.3258,                      0,                      0,                      0,                      0,                 2.7667,                 5.1372,                  4.163,             0.00012187,             0.00012187,             0.00012187
                     38,                 4.1277,                 4.3974,                 4.3008,                      0,                      0,                      0,                      0,                 2.7667,                 5.1372,                  4.163,             0.00012333,             0.00012333,             0.00012333
                     39,                  4.188,                 4.2632,                 4.1809,                      0,                      0,                      0,                      0,                  2.771,                 5.1394,                 4.1631,             0.00012469,             0.00012469,             0.00012469
                     40,                 4.2716,                 4.1167,                 4.1692,                      0,                      0,                      0,                      0,                  2.771,                 5.1394,                 4.1631,             0.00012594,             0.00012594,             0.00012594
                     41,                  4.523,                 4.7587,                 4.1948,                      0,                      0,                      0,                      0,                 2.7701,                 5.1366,                 4.1629,             0.00012708,             0.00012708,             0.00012708
                     42,                 4.2279,                 4.3755,                 4.0969,                      0,                      0,                      0,                      0,                 2.7701,                 5.1366,                 4.1629,             0.00012812,             0.00012812,             0.00012812
                     43,                  3.041,                 5.0044,                  4.194,                      0,                      0,                      0,                      0,                 2.7721,                 5.1398,                 4.1637,             0.00012906,             0.00012906,             0.00012906
                     44,                 4.7056,                 3.6503,                  4.048,                      0,                      0,                      0,                      0,                 2.7721,                 5.1398,                 4.1637,              0.0001299,              0.0001299,              0.0001299
                     45,                 4.3275,                 4.2618,                  4.115,                      0,                      0,                      0,                      0,                  2.774,                 5.1397,                 4.1639,             0.00013062,             0.00013062,             0.00013062
                     46,                 4.0253,                 3.7846,                 4.0903,                      0,                      0,                      0,                      0,                  2.774,                 5.1397,                 4.1639,             0.00013125,             0.00013125,             0.00013125
                     47,                 3.1527,                 5.3193,                 4.2478,                      0,                      0,                      0,                      0,                 2.7752,                 5.1402,                  4.164,             0.00013177,             0.00013177,             0.00013177
                     48,                 4.5985,                 4.2656,                 4.0729,                      0,                      0,                      0,                      0,                 2.7752,                 5.1402,                  4.164,             0.00013219,             0.00013219,             0.00013219
                     49,                 3.7797,                 4.4605,                 4.0985,                      0,                      0,                      0,                      0,                 2.7767,                 5.1425,                 4.1643,              0.0001325,              0.0001325,              0.0001325
                     50,                 3.4988,                 3.8846,                  4.031,                      0,                      0,                      0,                      0,                 2.7767,                 5.1425,                 4.1643,             0.00013271,             0.00013271,             0.00013271
                     51,                 3.6353,                  4.035,                 4.0847,                      0,                      0,                      0,                      0,                 2.7781,                 5.1447,                 4.1646,             0.00013281,             0.00013281,             0.00013281
