                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6063,                 7.3712,                 4.4181,                      0,                      0,                      0,                      0,                 5.3953,                 5.1665,                 4.1603,               5.26e-06,               5.26e-06,               5.26e-06
                      2,                 5.6325,                 6.3985,                  4.266,                      0,                      0,                      0,                      0,                 5.3952,                 5.1659,                 4.1613,             1.5624e-05,             1.5624e-05,             1.5624e-05
                      3,                 5.5798,                 6.8859,                 4.2851,                      0,                      0,                      0,                      0,                 5.3968,                 5.1614,                 4.1625,             2.5779e-05,             2.5779e-05,             2.5779e-05
                      4,                 5.2225,                 6.5601,                 4.2871,                      0,                      0,                      0,                      0,                 5.3973,                 5.1614,                 4.1636,             3.5726e-05,             3.5726e-05,             3.5726e-05
                      5,                 5.5163,                 7.1389,                 4.2447,                      0,                      0,                      0,                      0,                 5.3983,                 5.1618,                 4.1654,             4.5465e-05,             4.5465e-05,             4.5465e-05
                      6,                 5.7436,                 6.5198,                 4.2042,                      0,                      0,                      0,                      0,                 5.3983,                 5.1618,                 4.1666,             5.4996e-05,             5.4996e-05,             5.4996e-05
                      7,                 5.5334,                 6.7229,                 4.2276,                      0,                      0,                      0,                      0,                 5.3983,                 5.1674,                 4.1683,             6.4318e-05,             6.4318e-05,             6.4318e-05
                      8,                 5.6085,                 6.3959,                 4.2145,                      0,                      0,                      0,                      0,                 5.3988,                 5.1668,                 4.1696,             7.3432e-05,             7.3432e-05,             7.3432e-05
                      9,                 5.5858,                 6.1587,                 4.1673,                      0,                      0,                      0,                      0,                 5.3993,                 5.1651,                 4.1704,             8.2338e-05,             8.2338e-05,             8.2338e-05
                     10,                 5.7029,                 6.7778,                 4.1353,                      0,                      0,                      0,                      0,                 5.4004,                  5.169,                 4.1726,             9.1035e-05,             9.1035e-05,             9.1035e-05
                     11,                 5.4527,                 6.4625,                 4.1261,                      0,                      0,                      0,                      0,                 5.4003,                 5.1699,                 4.1748,             9.9524e-05,             9.9524e-05,             9.9524e-05
                     12,                 5.4703,                 6.5052,                 4.1577,                      0,                      0,                      0,                      0,                 5.4023,                 5.1749,                 4.1772,             0.00010781,             0.00010781,             0.00010781
                     13,                 5.2054,                 6.5146,                 4.1108,                      0,                      0,                      0,                      0,                 5.4028,                 5.1745,                 4.1795,             0.00011588,             0.00011588,             0.00011588
                     14,                 5.5662,                 6.1641,                  4.087,                      0,                      0,                      0,                      0,                 5.4033,                 5.1782,                 4.1821,             0.00012374,             0.00012374,             0.00012374
                     15,                 5.4076,                 6.5768,                 4.0392,                      0,                      0,                      0,                      0,                 5.4044,                  5.186,                 4.1854,              0.0001314,              0.0001314,              0.0001314
                     16,                 5.5609,                 6.7656,                 3.9852,                      0,                      0,                      0,                      0,                 5.4059,                 5.1901,                 4.1883,             0.00013885,             0.00013885,             0.00013885
                     17,                  5.027,                 5.6832,                 4.0657,                      0,                      0,                      0,                      0,                 5.4069,                 5.1987,                 4.1923,             0.00014608,             0.00014608,             0.00014608
                     18,                 5.2778,                 6.5282,                 3.9529,                      0,                      0,                      0,                      0,                 5.4083,                 5.2011,                 4.1956,             0.00015312,             0.00015312,             0.00015312
                     19,                 5.3173,                 6.2113,                 4.0065,                      0,                      0,                      0,                      0,                 5.4093,                 5.2153,                    4.2,             0.00015994,             0.00015994,             0.00015994
                     20,                 4.9188,                 6.3148,                 3.8585,                      0,                      0,                      0,                      0,                 5.4098,                 5.2217,                 4.2054,             0.00016655,             0.00016655,             0.00016655
                     21,                 5.4902,                 6.5379,                 3.9216,                      0,                      0,                      0,                      0,                 5.4118,                 5.2343,                 4.2113,             0.00017296,             0.00017296,             0.00017296
                     22,                 5.0134,                 5.9436,                 3.7874,                      0,                      0,                      0,                      0,                 5.4146,                 5.2458,                 4.2176,             0.00017916,             0.00017916,             0.00017916
                     23,                 4.7233,                 5.8549,                 3.8543,                      0,                      0,                      0,                      0,                 5.4158,                 5.2583,                 4.2244,             0.00018515,             0.00018515,             0.00018515
                     24,                 4.9426,                 5.6639,                 3.6227,                      0,                      0,                      0,                      0,                 5.4193,                 5.2691,                  4.231,             0.00019093,             0.00019093,             0.00019093
                     25,                 4.9964,                 5.5213,                 3.7679,                      0,                      0,                      0,                      0,                 5.4221,                 5.2812,                   4.24,              0.0001965,              0.0001965,              0.0001965
                     26,                 4.7664,                 5.2027,                 3.6173,                      0,                      0,                      0,                      0,                 5.4242,                 5.2926,                 4.2497,             0.00020187,             0.00020187,             0.00020187
                     27,                 4.7606,                 5.0119,                 3.5507,                      0,                      0,                      0,                      0,                 5.4278,                 5.3125,                 4.2628,             0.00020702,             0.00020702,             0.00020702
