                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5746,                 7.9581,                 4.3992,                      0,                      0,                      0,                      0,                 4.2462,                 5.2697,                 4.1598,               5.26e-06,               5.26e-06,               5.26e-06
                      2,                 4.6301,                 7.0375,                 4.3443,                      0,                      0,                      0,                      0,                 4.2461,                 5.2688,                  4.161,             1.5624e-05,             1.5624e-05,             1.5624e-05
                      3,                 4.6255,                 7.6177,                 4.3356,                      0,                      0,                      0,                      0,                 4.2482,                 5.2697,                  4.162,             2.5779e-05,             2.5779e-05,             2.5779e-05
                      4,                 4.1249,                  7.264,                 4.3348,                      0,                      0,                      0,                      0,                  4.249,                 5.2642,                 4.1629,             3.5726e-05,             3.5726e-05,             3.5726e-05
                      5,                 4.5621,                 7.8085,                 4.3743,                      0,                      0,                      0,                      0,                 4.2504,                  5.266,                 4.1643,             4.5465e-05,             4.5465e-05,             4.5465e-05
                      6,                 4.7489,                 6.9467,                 4.2555,                      0,                      0,                      0,                      0,                 4.2504,                 5.2642,                 4.1653,             5.4996e-05,             5.4996e-05,             5.4996e-05
                      7,                  4.572,                 7.1936,                 4.2498,                      0,                      0,                      0,                      0,                 4.2504,                 5.2697,                 4.1665,             6.4318e-05,             6.4318e-05,             6.4318e-05
                      8,                  4.599,                 6.8319,                 4.2138,                      0,                      0,                      0,                      0,                 4.2524,                 5.2688,                 4.1673,             7.3432e-05,             7.3432e-05,             7.3432e-05
                      9,                 4.5717,                 6.4384,                 4.2059,                      0,                      0,                      0,                      0,                 4.2523,                 5.2697,                 4.1679,             8.2338e-05,             8.2338e-05,             8.2338e-05
                     10,                 4.6817,                 7.0884,                 4.1391,                      0,                      0,                      0,                      0,                 4.2529,                 5.2734,                 4.1702,             9.1035e-05,             9.1035e-05,             9.1035e-05
                     11,                 4.4582,                 6.7991,                 4.1665,                      0,                      0,                      0,                      0,                 4.2542,                 5.2758,                 4.1713,             9.9524e-05,             9.9524e-05,             9.9524e-05
                     12,                  4.419,                 6.9676,                 4.2039,                      0,                      0,                      0,                      0,                 4.2556,                 5.2806,                 4.1737,             0.00010781,             0.00010781,             0.00010781
                     13,                 3.9958,                 7.0073,                 4.1734,                      0,                      0,                      0,                      0,                 4.2577,                  5.285,                 4.1755,             0.00011588,             0.00011588,             0.00011588
                     14,                 4.4258,                 6.4853,                  4.074,                      0,                      0,                      0,                      0,                 4.2584,                 5.2905,                 4.1777,             0.00012374,             0.00012374,             0.00012374
                     15,                 4.1803,                 7.0078,                 4.0866,                      0,                      0,                      0,                      0,                 4.2596,                 5.2971,                 4.1805,              0.0001314,              0.0001314,              0.0001314
                     16,                 4.4254,                 6.8519,                 4.0365,                      0,                      0,                      0,                      0,                 4.2653,                 5.3008,                  4.183,             0.00013885,             0.00013885,             0.00013885
                     17,                 3.8245,                 5.9101,                 4.2062,                      0,                      0,                      0,                      0,                 4.2654,                 5.3079,                 4.1857,             0.00014608,             0.00014608,             0.00014608
                     18,                 4.1557,                 7.0996,                 4.0644,                      0,                      0,                      0,                      0,                 4.2666,                   5.32,                 4.1892,             0.00015312,             0.00015312,             0.00015312
                     19,                 4.0287,                 6.5415,                 4.0492,                      0,                      0,                      0,                      0,                 4.2687,                 5.3287,                 4.1927,             0.00015994,             0.00015994,             0.00015994
                     20,                 3.6277,                 6.8049,                 4.0372,                      0,                      0,                      0,                      0,                  4.273,                 5.3404,                 4.1972,             0.00016655,             0.00016655,             0.00016655
                     21,                 4.3122,                 6.3432,                 3.9427,                      0,                      0,                      0,                      0,                 4.2768,                 5.3529,                 4.2017,             0.00017296,             0.00017296,             0.00017296
                     22,                 3.4972,                 5.5916,                 3.9975,                      0,                      0,                      0,                      0,                 4.2788,                 5.3662,                 4.2062,             0.00017916,             0.00017916,             0.00017916
                     23,                  3.472,                 5.9193,                 4.0247,                      0,                      0,                      0,                      0,                 4.2826,                  5.381,                 4.2111,             0.00018515,             0.00018515,             0.00018515
                     24,                 3.4975,                 5.6896,                 3.9204,                      0,                      0,                      0,                      0,                 4.2854,                 5.3947,                 4.2169,             0.00019093,             0.00019093,             0.00019093
                     25,                 3.4602,                 5.2989,                 3.8493,                      0,                      0,                      0,                      0,                 4.2917,                 5.4097,                 4.2231,              0.0001965,              0.0001965,              0.0001965
                     26,                 3.5187,                 5.1285,                 3.8452,                      0,                      0,                      0,                      0,                 4.2944,                 5.4166,                 4.2264,             0.00020187,             0.00020187,             0.00020187
                     27,                 3.3951,                 4.9698,                 3.7745,                      0,                      0,                      0,                      0,                 4.3001,                 5.4406,                 4.2364,             0.00020702,             0.00020702,             0.00020702
                     28,                 3.2611,                 5.1271,                 3.7933,                      0,                      0,                      0,                      0,                 4.3001,                 5.4406,                 4.2364,             0.00021197,             0.00021197,             0.00021197
                     29,                 3.0929,                 4.7893,                 3.8971,                      0,                      0,                      0,                      0,                 4.3094,                 5.4652,                 4.2468,             0.00021671,             0.00021671,             0.00021671
                     30,                 3.0756,                 5.0675,                 3.8534,                      0,                      0,                      0,                      0,                  4.316,                 5.4902,                 4.2586,             0.00022124,             0.00022124,             0.00022124
                     31,                 2.5464,                 5.5248,                 3.9736,                      0,                      0,                      0,                      0,                  4.316,                 5.4902,                 4.2586,             0.00022556,             0.00022556,             0.00022556
                     32,                 2.6793,                 4.4913,                 3.9671,                      0,                      0,                      0,                      0,                 4.3262,                 5.5194,                 4.2716,             0.00022968,             0.00022968,             0.00022968
                     33,                 3.0136,                 5.0386,                 3.7746,                      0,                      0,                      0,                      0,                 4.3354,                 5.5516,                 4.2851,             0.00023359,             0.00023359,             0.00023359
                     34,                 3.0209,                 4.6236,                 3.7613,                      0,                      0,                      0,                      0,                 4.3354,                 5.5516,                 4.2851,             0.00023728,             0.00023728,             0.00023728
                     35,                 2.9284,                  4.514,                 3.8209,                      0,                      0,                      0,                      0,                 4.3462,                 5.5785,                 4.2991,             0.00024077,             0.00024077,             0.00024077
                     36,                 2.6272,                 4.9203,                  3.763,                      0,                      0,                      0,                      0,                 4.3561,                 5.6093,                 4.3137,             0.00024406,             0.00024406,             0.00024406
                     37,                 2.8434,                 4.5483,                 3.6194,                      0,                      0,                      0,                      0,                 4.3561,                 5.6093,                 4.3137,             0.00024713,             0.00024713,             0.00024713
                     38,                 2.6017,                 5.0496,                 3.6812,                      0,                      0,                      0,                      0,                 4.3644,                 5.6387,                 4.3289,             0.00024999,             0.00024999,             0.00024999
                     39,                 2.6538,                 4.2988,                 3.8226,                      0,                      0,                      0,                      0,                  4.375,                 5.6701,                 4.3444,             0.00025265,             0.00025265,             0.00025265
                     40,                  2.684,                 3.8554,                 3.4526,                      0,                      0,                      0,                      0,                  4.375,                 5.6701,                 4.3444,              0.0002551,              0.0002551,              0.0002551
                     41,                 2.5006,                 4.2316,                 3.5812,                      0,                      0,                      0,                      0,                 4.3878,                 5.6988,                 4.3609,             0.00025734,             0.00025734,             0.00025734
                     42,                 2.6213,                 5.3816,                 3.3268,                      0,                      0,                      0,                      0,                 4.3957,                 5.7163,                 4.3738,             0.00025937,             0.00025937,             0.00025937
                     43,                 2.6196,                 5.2261,                 3.4364,                      0,                      0,                      0,                      0,                 4.3957,                 5.7163,                 4.3738,              0.0002612,              0.0002612,              0.0002612
                     44,                  2.408,                 4.1904,                 3.6557,                      0,                      0,                      0,                      0,                 4.4065,                 5.7387,                 4.3887,             0.00026281,             0.00026281,             0.00026281
                     45,                 2.3361,                 3.8239,                 3.4563,                      0,                      0,                      0,                      0,                 4.4065,                 5.7387,                 4.3887,             0.00026422,             0.00026422,             0.00026422
                     46,                 2.5748,                 4.2587,                 3.3202,                      0,                      0,                      0,                      0,                 4.4179,                 5.7556,                 4.4041,             0.00026542,             0.00026542,             0.00026542
                     47,                 2.7005,                  4.293,                 3.1723,                      0,                      0,                      0,                      0,                 4.4179,                 5.7556,                 4.4041,             0.00026641,             0.00026641,             0.00026641
                     48,                 2.6204,                 5.3169,                 3.2242,                      0,                      0,                      0,                      0,                 4.4241,                 5.7668,                 4.4161,             0.00026719,             0.00026719,             0.00026719
                     49,                 2.5417,                  4.252,                  3.409,                      0,                      0,                      0,                      0,                 4.4241,                 5.7668,                 4.4161,             0.00026776,             0.00026776,             0.00026776
                     50,                  2.836,                 4.5593,                 3.0873,                      0,                      0,                      0,                      0,                 4.4288,                 5.7654,                 4.4215,             0.00026813,             0.00026813,             0.00026813
                     51,                 2.2268,                 4.2681,                 3.5355,                      0,                      0,                      0,                      0,                 4.4288,                 5.7654,                 4.4215,             0.00026563,             0.00026563,             0.00026563
                     52,                 2.6949,                 3.8934,                 3.2785,                      0,                      0,                      0,                      0,                 4.4337,                 5.7615,                 4.4257,             0.00026042,             0.00026042,             0.00026042
                     53,                 2.3403,                  4.862,                 3.3517,                      0,                      0,                      0,                      0,                 4.4337,                 5.7615,                 4.4257,             0.00025522,             0.00025522,             0.00025522
                     54,                 2.4438,                 4.0823,                 3.2357,                      0,                      0,                      0,                      0,                 4.4339,                 5.7452,                 4.4199,             0.00025001,             0.00025001,             0.00025001
                     55,                 2.6554,                 3.8822,                 2.9809,                      0,                      0,                      0,                      0,                 4.4339,                 5.7452,                 4.4199,              0.0002448,              0.0002448,              0.0002448
                     56,                 2.1723,                 3.7788,                 3.5706,                      0,                      0,                      0,                      0,                  4.417,                 5.6919,                  4.392,             0.00023959,             0.00023959,             0.00023959
                     57,                  2.242,                 4.1182,                 3.1586,                      0,                      0,                      0,                      0,                  4.417,                 5.6919,                  4.392,             0.00023439,             0.00023439,             0.00023439
                     58,                 2.2538,                 3.8079,                 3.1183,                      0,                      0,                      0,                      0,                 4.3829,                 5.6234,                 4.3501,             0.00022918,             0.00022918,             0.00022918
                     59,                 2.4712,                 3.7325,                 2.9409,                      0,                      0,                      0,                      0,                 4.3829,                 5.6234,                 4.3501,             0.00022397,             0.00022397,             0.00022397
                     60,                 2.4576,                 3.5568,                  3.088,                      0,                      0,                      0,                      0,                 4.3267,                 5.5321,                 4.2865,             0.00021876,             0.00021876,             0.00021876
