                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6254,                 5.8461,                  4.189,                      0,                      0,                      0,                      0,                 5.4008,                 4.2211,                 4.1591,                  2e-05,                  2e-05,                  2e-05
                      2,                 5.6578,                 5.0285,                 4.2124,                      0,                      0,                      0,                      0,                 5.4008,                 4.2203,                 4.1588,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 5.5779,                 5.4805,                 4.2154,                      0,                      0,                      0,                      0,                 5.4008,                 4.2184,                 4.1586,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 5.2542,                 5.0146,                 4.2314,                      0,                      0,                      0,                      0,                 5.3988,                 4.2194,                 4.1583,             0.00013584,             0.00013584,             0.00013584
                      5,                 5.5411,                 5.5982,                 4.1428,                      0,                      0,                      0,                      0,                 5.3988,                 4.2222,                 4.1577,             0.00017287,             0.00017287,             0.00017287
                      6,                 5.7261,                  4.942,                 4.0681,                      0,                      0,                      0,                      0,                 5.3993,                 4.2221,                  4.158,             0.00020911,             0.00020911,             0.00020911
                      7,                 5.4912,                 5.0665,                 4.0237,                      0,                      0,                      0,                      0,                 5.3998,                  4.222,                 4.1576,             0.00024456,             0.00024456,             0.00024456
                      8,                 5.4566,                  4.806,                 3.9726,                      0,                      0,                      0,                      0,                 5.4006,                 4.2229,                 4.1585,             0.00027921,             0.00027921,             0.00027921
                      9,                 5.2526,                 4.4193,                 3.8026,                      0,                      0,                      0,                      0,                 5.4006,                 4.2119,                 4.1594,             0.00031307,             0.00031307,             0.00031307
                     10,                  4.962,                 4.8909,                 3.5383,                      0,                      0,                      0,                      0,                 5.4006,                 4.2101,                 4.1595,             0.00034614,             0.00034614,             0.00034614
                     11,                 4.5925,                 4.3509,                 3.6792,                      0,                      0,                      0,                      0,                 5.4007,                 4.2074,                 4.1607,             0.00037842,             0.00037842,             0.00037842
                     12,                  4.126,                 4.2522,                 3.5244,                      0,                      0,                      0,                      0,                 5.4022,                 4.2072,                 4.1633,             0.00040991,             0.00040991,             0.00040991
                     13,                 3.2497,                 4.0077,                 3.6739,                      0,                      0,                      0,                      0,                 5.4032,                 4.2046,                 4.1667,              0.0004406,              0.0004406,              0.0004406
                     14,                  3.786,                 3.4211,                 3.2277,                      0,                      0,                      0,                      0,                 5.4055,                 4.2091,                 4.1716,              0.0004705,              0.0004705,              0.0004705
                     15,                 3.4032,                 3.5284,                 3.3493,                      0,                      0,                      0,                      0,                 5.4086,                 4.2015,                 4.1753,             0.00049961,             0.00049961,             0.00049961
                     16,                 3.7175,                 3.7669,                 2.8972,                      0,                      0,                      0,                      0,                 5.4101,                 4.1942,                 4.1801,             0.00052793,             0.00052793,             0.00052793
                     17,                 2.9741,                 2.8737,                 3.2611,                      0,                      0,                      0,                      0,                 5.4136,                 4.1824,                 4.1857,             0.00055546,             0.00055546,             0.00055546
                     18,                 3.0672,                 3.7352,                 3.2508,                      0,                      0,                      0,                      0,                 5.4137,                 4.1851,                 4.1878,             0.00058219,             0.00058219,             0.00058219
                     19,                 3.1704,                 3.2668,                 3.1017,                      0,                      0,                      0,                      0,                 5.4164,                 4.1818,                 4.1916,             0.00060813,             0.00060813,             0.00060813
                     20,                  2.762,                 3.2963,                 2.9442,                      0,                      0,                      0,                      0,                 5.4208,                 4.1913,                 4.2021,             0.00063328,             0.00063328,             0.00063328
                     21,                 3.3921,                 3.2373,                 2.5324,                      0,                      0,                      0,                      0,                 5.4264,                  4.156,                  4.215,             0.00065764,             0.00065764,             0.00065764
                     22,                 2.6115,                 2.6629,                 2.6042,                      0,                      0,                      0,                      0,                 5.4262,                 4.1442,                 4.2148,             0.00068121,             0.00068121,             0.00068121
                     23,                 2.5338,                 2.5422,                 2.5507,                      0,                      0,                      0,                      0,                 5.4245,                 4.1241,                 4.2104,             0.00070398,             0.00070398,             0.00070398
                     24,                 2.5439,                 2.5326,                 2.3753,                      0,                      0,                      0,                      0,                 5.4178,                 4.1609,                  4.196,             0.00072596,             0.00072596,             0.00072596
                     25,                 2.3669,                 2.2912,                 2.3211,                      0,                      0,                      0,                      0,                 5.4244,                 4.1943,                 4.2083,             0.00074715,             0.00074715,             0.00074715
                     26,                 2.3111,                 2.1868,                 2.1675,                      0,                      0,                      0,                      0,                 5.4329,                 4.2063,                 4.2266,             0.00076755,             0.00076755,             0.00076755
                     27,                 2.2401,                 2.1526,                 2.0715,                      0,                      0,                      0,                      0,                 5.4631,                 4.2136,                  4.296,             0.00078716,             0.00078716,             0.00078716
                     28,                 2.1916,                  2.077,                 2.0961,                      0,                      0,                      0,                      0,                 5.4631,                 4.2136,                  4.296,             0.00080597,             0.00080597,             0.00080597
                     29,                 2.0954,                 2.0764,                 2.1475,                      0,                      0,                      0,                      0,                 5.4948,                 4.1612,                 4.3727,             0.00082399,             0.00082399,             0.00082399
                     30,                 2.0525,                 2.0984,                 2.0903,                      0,                      0,                      0,                      0,                 5.5188,                 4.1778,                 4.4363,             0.00084122,             0.00084122,             0.00084122
                     31,                 1.9284,                  2.246,                 2.2643,                      0,                      0,                      0,                      0,                 5.5188,                 4.1778,                 4.4363,             0.00085766,             0.00085766,             0.00085766
                     32,                 1.9201,                 1.8528,                 2.1501,                      0,                      0,                      0,                      0,                 5.5487,                 4.1587,                 4.5169,             0.00087331,             0.00087331,             0.00087331
                     33,                 1.9484,                 2.0381,                  1.845,                      0,                      0,                      0,                      0,                 5.5614,                 4.1882,                 4.5526,             0.00088816,             0.00088816,             0.00088816
                     34,                 1.9191,                 1.7358,                 1.8253,                      0,                      0,                      0,                      0,                 5.5614,                 4.1882,                 4.5526,             0.00090222,             0.00090222,             0.00090222
                     35,                  1.913,                 1.8303,                 1.9283,                      0,                      0,                      0,                      0,                 5.5446,                 4.2178,                 4.5058,             0.00091549,             0.00091549,             0.00091549
                     36,                 1.7474,                 1.8098,                 1.9043,                      0,                      0,                      0,                      0,                 5.5223,                 4.0188,                  4.444,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.8422,                 1.7633,                 1.8896,                      0,                      0,                      0,                      0,                 5.5223,                 4.0188,                  4.444,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.7902,                 1.8493,                 1.9556,                      0,                      0,                      0,                      0,                 5.5009,                 4.0677,                 4.3865,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.8446,                 1.5897,                  1.992,                      0,                      0,                      0,                      0,                 5.4764,                 4.1527,                 4.3244,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.9117,                 1.6094,                 1.7677,                      0,                      0,                      0,                      0,                 5.4764,                 4.1527,                 4.3244,             0.00096996,             0.00096996,             0.00096996
                     41,                 1.8895,                 1.6323,                 1.8465,                      0,                      0,                      0,                      0,                  5.454,                  4.213,                 4.2688,             0.00097848,             0.00097848,             0.00097848
                     42,                 1.8688,                 2.0527,                 1.6659,                      0,                      0,                      0,                      0,                 5.4357,                 4.2722,                 4.2268,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.9153,                 1.8969,                 1.6962,                      0,                      0,                      0,                      0,                 5.4357,                 4.2722,                 4.2268,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.7915,                 1.5796,                 1.9013,                      0,                      0,                      0,                      0,                 5.4027,                 4.3287,                  4.159,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.7518,                 1.4952,                 1.7228,                      0,                      0,                      0,                      0,                 5.4027,                 4.3287,                  4.159,              0.0010046,              0.0010046,              0.0010046
                     46,                 1.8223,                 1.6239,                  1.622,                      0,                      0,                      0,                      0,                 5.3353,                 4.3384,                 4.0458,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.8477,                 1.7323,                 1.5931,                      0,                      0,                      0,                      0,                 5.3353,                 4.3384,                 4.0458,               0.001013,               0.001013,               0.001013
                     48,                 1.8198,                 2.0202,                 1.5917,                0.00833,                 0.0137,                0.00446,                0.00313,                  5.163,                 4.2229,                 3.8489,              0.0010159,              0.0010159,              0.0010159
                     49,                 1.9206,                 1.5754,                 1.8122,                0.00833,                 0.0137,                0.00446,                0.00313,                  5.163,                 4.2229,                 3.8489,              0.0010181,              0.0010181,              0.0010181
                     50,                 1.9423,                  1.743,                  1.567,                0.04032,                0.06849,                0.03903,                0.01923,                 4.7772,                   3.98,                 3.5702,              0.0010195,              0.0010195,              0.0010195
                     51,                 1.5827,                 1.7034,                 1.7223,                0.04032,                0.06849,                0.03903,                0.01923,                 4.7772,                   3.98,                 3.5702,                0.00101,                0.00101,                0.00101
                     52,                 1.8269,                 1.5975,                 1.6846,                0.07362,                0.16438,                0.11725,                0.04467,                 4.1981,                 3.6965,                  3.244,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.6762,                 1.7404,                 1.6653,                0.07362,                0.16438,                0.11725,                0.04467,                 4.1981,                 3.6965,                  3.244,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.7124,                 1.5208,                 1.6312,                0.07109,                0.20548,                0.14595,                0.06336,                 3.7805,                 3.4967,                 3.0274,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.7887,                   1.51,                 1.5494,                0.07109,                0.20548,                0.14595,                0.06336,                 3.7805,                 3.4967,                 3.0274,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.6506,                 1.3932,                  1.878,                0.08365,                0.30137,                0.17868,                0.08459,                 3.1945,                 3.1405,                 2.7318,               0.000911,               0.000911,               0.000911
                     57,                 1.6642,                 1.4827,                 1.7082,                0.08365,                0.30137,                0.17868,                0.08459,                 3.1945,                 3.1405,                 2.7318,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.5945,                 1.4134,                 1.5784,                0.69411,                0.12329,                0.25912,                0.11928,                 2.5901,                 2.7917,                 2.3936,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.7282,                 1.4185,                 1.5196,                0.69411,                0.12329,                0.25912,                0.11928,                 2.5901,                 2.7917,                 2.3936,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.7037,                 1.3787,                 1.5739,                0.69966,                0.12787,                0.30508,                0.14757,                 2.4253,                 2.6661,                 2.2809,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4709,                 1.3017,                 1.6386,                0.69966,                0.12787,                0.30508,                0.14757,                 2.4253,                 2.6661,                 2.2809,               0.000812,               0.000812,               0.000812
                     62,                 1.6048,                 1.4503,                 1.6298,                0.76483,                0.12329,                0.23197,                0.13416,                 2.4906,                 2.6871,                 2.3022,              0.0007922,              0.0007922,              0.0007922
                     63,                  1.619,                 1.3397,                 1.6641,                0.76483,                0.12329,                0.23197,                0.13416,                 2.4906,                 2.6871,                 2.3022,              0.0007724,              0.0007724,              0.0007724
                     64,                  1.868,                 1.5293,                 1.5735,                0.73437,                0.15154,                0.24762,                0.13455,                 2.4068,                 2.6102,                 2.2806,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.6297,                 1.4988,                 1.6722,                0.73437,                0.15154,                0.24762,                0.13455,                 2.4068,                 2.6102,                 2.2806,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.6274,                 1.2883,                 1.7151,                 0.5688,                0.19178,                 0.2895,                0.14657,                 2.2108,                 2.2035,                 2.1349,               0.000713,               0.000713,               0.000713
                     67,                 1.4846,                 1.2921,                 1.4764,                 0.5688,                0.19178,                 0.2895,                0.14657,                 2.2108,                 2.2035,                 2.1349,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.5693,                  1.313,                 1.7116,                0.58529,                0.29005,                0.36074,                0.17546,                 2.0749,                 1.8749,                 2.0174,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.5202,                 1.2911,                 1.5091,                0.58529,                0.29005,                0.36074,                0.17546,                 2.0749,                 1.8749,                 2.0174,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.4861,                 1.3013,                 1.5221,                0.66202,                 0.3489,                0.43245,                0.20987,                 1.9923,                 1.7496,                 1.9489,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.6712,                 1.2578,                 1.6737,                0.66202,                 0.3489,                0.43245,                0.20987,                 1.9923,                 1.7496,                 1.9489,               0.000614,               0.000614,               0.000614
                     72,                 1.6346,                 1.2893,                 1.7074,                0.73438,                0.37883,                0.49257,                0.23682,                 1.9182,                 1.6902,                 1.8919,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.6356,                 1.1678,                  1.493,                0.73438,                0.37883,                0.49257,                0.23682,                 1.9182,                 1.6902,                 1.8919,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3894,                 1.3078,                 1.5463,                0.71381,                0.44425,                0.51833,                0.25256,                 1.8477,                 1.5909,                  1.839,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.6059,                 1.2535,                 1.5771,                0.71381,                0.44425,                0.51833,                0.25256,                 1.8477,                 1.5909,                  1.839,              0.0005348,              0.0005348,              0.0005348
                     76,                  1.677,                 1.2094,                 1.6761,                0.72776,                 0.4761,                0.56161,                0.27397,                 1.8283,                 1.5401,                 1.8232,               0.000515,               0.000515,               0.000515
                     77,                 1.5888,                 1.2057,                  1.655,                0.72776,                 0.4761,                0.56161,                0.27397,                 1.8283,                 1.5401,                 1.8232,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.6145,                 1.2517,                 1.5941,                0.81471,                0.49315,                0.60359,                0.29069,                 1.8633,                 1.4605,                 1.8251,              0.0004754,              0.0004754,              0.0004754
                     79,                   1.67,                 1.2383,                 1.7535,                0.81471,                0.49315,                0.60359,                0.29069,                 1.8633,                 1.4605,                 1.8251,              0.0004556,              0.0004556,              0.0004556
