                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3409,                 4.8555,                 4.2155,                      0,                      0,                      0,                      0,                 5.2443,                 4.7941,                 4.1586,                0.00014,                0.00014,                0.00014
                      2,                 5.0437,                 4.5231,                 4.0644,                      0,                      0,                      0,                      0,                 5.2426,                  4.789,                 4.1594,             0.00029703,             0.00029703,             0.00029703
                      3,                 4.3974,                 3.9937,                 3.7298,                      0,                      0,                      0,                      0,                 5.2463,                 4.7499,                 4.1691,             0.00045089,             0.00045089,             0.00045089
                      4,                 3.4186,                 3.3535,                 3.4527,                      0,                      0,                      0,                      0,                 5.2584,                 4.7265,                 4.1932,             0.00060159,             0.00060159,             0.00060159
                      5,                 2.9452,                 2.8565,                 3.0641,                      0,                      0,                      0,                      0,                  5.293,                 4.5687,                 4.2702,             0.00074911,             0.00074911,             0.00074911
                      6,                 2.5804,                 2.3817,                 2.6035,                      0,                      0,                      0,                      0,                 5.3284,                 4.4755,                 4.3517,             0.00089347,             0.00089347,             0.00089347
                      7,                 2.3845,                  2.219,                 2.3592,                      0,                      0,                      0,                      0,                 5.3704,                 4.6115,                 4.4561,              0.0010347,              0.0010347,              0.0010347
                      8,                 2.1179,                 2.0262,                 2.0911,                      0,                      0,                      0,                      0,                 5.4055,                 4.7093,                 4.5527,              0.0011727,              0.0011727,              0.0011727
                      9,                 2.0903,                 1.8599,                 2.0566,                      0,                      0,                      0,                      0,                 5.4029,                 4.1624,                 4.5497,              0.0013075,              0.0013075,              0.0013075
                     10,                 1.9375,                 1.7906,                 1.9591,                      0,                      0,                      0,                      0,                  5.477,                 4.3584,                 4.7821,              0.0014392,              0.0014392,              0.0014392
                     11,                 1.8681,                 1.8421,                 1.8448,                0.00164,                0.00452,                0.00083,                  8e-05,                  5.198,                 4.4242,                 4.1977,              0.0015677,              0.0015677,              0.0015677
                     12,                  1.864,                 1.7377,                 1.8054,                0.05027,                0.25339,                0.14036,                 0.0517,                 3.5914,                 3.6532,                  3.182,              0.0016931,              0.0016931,              0.0016931
                     13,                 1.8297,                 1.7834,                 1.8596,                0.68736,                0.09948,                0.20037,                0.08933,                  2.817,                 2.9856,                 2.7393,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.8244,                 1.5192,                 1.8252,                0.52715,                0.26697,                0.27456,                 0.1439,                 2.2333,                 2.0961,                 2.2444,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.8048,                  1.518,                 1.7588,                0.71473,                0.30769,                 0.3755,                0.19243,                 2.0152,                 1.7014,                 2.0091,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.7634,                 1.3957,                 1.7851,                0.62899,                0.42081,                0.44258,                0.23572,                 1.8237,                 1.5918,                 1.8658,               0.001703,               0.001703,               0.001703
                     17,                 1.7636,                 1.4613,                 1.6799,                0.82241,                0.49321,                0.59741,                0.28777,                 1.8216,                 1.4496,                 1.7859,              0.0016832,              0.0016832,              0.0016832
