epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,56685.6,1.19476,0.89559,1.71637,0.85492,0.85447,0.91276,0.58206,1.11906,0.77823,1.58055,0.0011882,0.0011882,0.0011882
43,57891.4,1.18679,0.86131,1.71717,0.84026,0.87374,0.91731,0.59337,1.07902,0.77373,1.5513,0.0011684,0.0011684,0.0011684
44,59096.8,1.19071,0.86271,1.69882,0.8561,0.87146,0.92361,0.60274,1.07625,0.75643,1.549,0.0011486,0.0011486,0.0011486
45,60317.7,1.17287,0.84442,1.67851,0.85365,0.85586,0.91873,0.5999,1.05632,0.76655,1.54512,0.0011288,0.0011288,0.0011288
46,61512.4,1.16015,0.84842,1.66813,0.8695,0.8693,0.92466,0.61273,1.04733,0.73635,1.53747,0.001109,0.001109,0.001109
47,62701.2,1.17092,0.85747,1.66575,0.85562,0.85721,0.92,0.60496,1.07984,0.77143,1.56523,0.0010892,0.0010892,0.0010892
48,63886,1.1721,0.84285,1.68543,0.85061,0.87477,0.92143,0.60805,1.04813,0.7532,1.5559,0.0010694,0.0010694,0.0010694
49,65067.5,1.1583,0.86266,1.68486,0.84762,0.86856,0.91528,0.59813,1.05556,0.80115,1.57223,0.0010496,0.0010496,0.0010496
50,66243.8,1.17404,0.85372,1.68837,0.84746,0.86451,0.91978,0.60798,1.04884,0.73472,1.55324,0.0010298,0.0010298,0.0010298
51,67419.9,1.14501,0.83076,1.65054,0.84584,0.86757,0.91839,0.60413,1.07246,0.75751,1.56882,0.00101,0.00101,0.00101
52,68590.6,1.1297,0.83035,1.6267,0.84445,0.87028,0.92211,0.61325,1.03749,0.74218,1.54481,0.0009902,0.0009902,0.0009902
53,69764.4,1.13461,0.84103,1.62924,0.86424,0.86657,0.92811,0.61506,1.04846,0.73347,1.55835,0.0009704,0.0009704,0.0009704
54,71007.9,1.13292,0.83515,1.64786,0.86318,0.86348,0.92267,0.61403,1.03303,0.73383,1.51876,0.0009506,0.0009506,0.0009506
55,72266.6,1.1272,0.78986,1.64043,0.84806,0.87546,0.9228,0.61329,1.02926,0.72274,1.54799,0.0009308,0.0009308,0.0009308
56,73463.7,1.12339,0.81472,1.62419,0.84777,0.87916,0.92661,0.6153,1.05436,0.73234,1.53617,0.000911,0.000911,0.000911
57,74658.2,1.13937,0.82543,1.66614,0.85212,0.87964,0.92844,0.61065,1.05182,0.71549,1.52993,0.0008912,0.0008912,0.0008912
58,75840.5,1.12486,0.81307,1.64646,0.8608,0.886,0.93004,0.62052,1.03555,0.69662,1.5233,0.0008714,0.0008714,0.0008714
59,77029.4,1.12492,0.8145,1.64954,0.86194,0.87078,0.92506,0.62103,1.04231,0.71209,1.53957,0.0008516,0.0008516,0.0008516
60,78233.8,1.11145,0.80569,1.63985,0.85446,0.87349,0.92614,0.61518,1.04081,0.72435,1.51452,0.0008318,0.0008318,0.0008318
61,79435.8,1.1242,0.81379,1.6543,0.86188,0.86782,0.92059,0.61156,1.03819,0.71295,1.54116,0.000812,0.000812,0.000812
62,80637.3,1.10727,0.79545,1.62988,0.86552,0.8725,0.92824,0.62314,1.01902,0.7062,1.52648,0.0007922,0.0007922,0.0007922
63,81836.7,1.12005,0.80409,1.62937,0.86717,0.87152,0.92598,0.62633,1.02038,0.70223,1.51811,0.0007724,0.0007724,0.0007724
64,1159.33,1.28108,45.9168,1.73272,0.8458,0.86435,0.91796,0.59936,1.07361,0.75392,1.58464,0.0007526,0.0007526,0.0007526
65,2472.65,1.16515,0.83142,1.69531,0.83671,0.86182,0.9171,0.60737,1.04535,0.72208,1.53858,0.0007328,0.0007328,0.0007328
66,3771.09,1.13723,0.81154,1.65074,0.82045,0.87557,0.90964,0.60197,1.05348,0.76491,1.53933,0.000713,0.000713,0.000713
67,5022.19,1.145,0.80822,1.66412,0.82861,0.88704,0.90555,0.60994,1.02507,0.83051,1.52609,0.0006932,0.0006932,0.0006932
68,6294.91,1.13218,0.80853,1.65891,0.85106,0.87787,0.91832,0.6071,1.03283,0.79235,1.52082,0.0006734,0.0006734,0.0006734
69,7552.77,1.12341,0.77608,1.6374,0.84701,0.88061,0.91619,0.60598,1.05697,0.78708,1.55501,0.0006536,0.0006536,0.0006536
70,8813.75,1.11222,0.76822,1.63571,0.85909,0.88582,0.92387,0.6182,1.02095,0.77675,1.5402,0.0006338,0.0006338,0.0006338
71,10058.7,1.10936,0.78403,1.62858,0.8624,0.88483,0.93006,0.62504,1.03,0.71641,1.53898,0.000614,0.000614,0.000614
