                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5177,                 5.7266,                 4.2399,                      0,                      0,                      0,                      0,                 5.3077,                 5.1325,                 4.1596,                      0,                      0,                      0
                      2,                 5.4647,                 5.9209,                 4.2819,                      0,                      0,                      0,                      0,                 5.3077,                 5.1325,                 4.1602,             5.2079e-06,             5.2079e-06,             5.2079e-06
                      3,                 5.5995,                  5.728,                 4.2976,                      0,                      0,                      0,                      0,                 5.3077,                 5.1325,                 4.1607,             1.0312e-05,             1.0312e-05,             1.0312e-05
                      4,                  5.422,                  5.592,                 4.2327,                      0,                      0,                      0,                      0,                 5.3077,                 5.1317,                 4.1612,             1.5311e-05,             1.5311e-05,             1.5311e-05
                      5,                 5.1032,                 5.6661,                 4.2846,                      0,                      0,                      0,                      0,                 5.3093,                 5.1327,                 4.1615,             2.0207e-05,             2.0207e-05,             2.0207e-05
                      6,                 5.4903,                 5.7105,                 4.2558,                      0,                      0,                      0,                      0,                 5.3093,                 5.1297,                 4.1622,             2.4998e-05,             2.4998e-05,             2.4998e-05
                      7,                  5.677,                 5.8379,                 4.3038,                      0,                      0,                      0,                      0,                 5.3109,                 5.1279,                 4.1627,             2.9685e-05,             2.9685e-05,             2.9685e-05
                      8,                 5.0821,                 6.1529,                 4.2708,                      0,                      0,                      0,                      0,                 5.3104,                 5.1279,                  4.163,             3.4268e-05,             3.4268e-05,             3.4268e-05
                      9,                  5.016,                 6.2389,                 4.2879,                      0,                      0,                      0,                      0,                 5.3103,                 5.1278,                  4.164,             3.8747e-05,             3.8747e-05,             3.8747e-05
                     10,                 5.5481,                 5.7736,                 4.2389,                      0,                      0,                      0,                      0,                 5.3109,                 5.1269,                 4.1645,             4.3122e-05,             4.3122e-05,             4.3122e-05
                     11,                 5.5587,                 5.8694,                 4.2333,                      0,                      0,                      0,                      0,                 5.3109,                 5.1269,                 4.1654,             4.7393e-05,             4.7393e-05,             4.7393e-05
                     12,                 5.5468,                 6.1444,                 4.2134,                      0,                      0,                      0,                      0,                 5.3109,                 5.1269,                 4.1655,             5.1559e-05,             5.1559e-05,             5.1559e-05
                     13,                 5.4619,                 6.0985,                 4.2344,                      0,                      0,                      0,                      0,                 5.3109,                 5.1269,                 4.1661,             5.5621e-05,             5.5621e-05,             5.5621e-05
                     14,                 5.7766,                 6.1929,                 4.2378,                      0,                      0,                      0,                      0,                 5.3109,                  5.127,                 4.1663,             5.9579e-05,             5.9579e-05,             5.9579e-05
                     15,                 5.5059,                 5.6464,                 4.1958,                      0,                      0,                      0,                      0,                 5.3109,                  5.127,                 4.1674,             6.3433e-05,             6.3433e-05,             6.3433e-05
                     16,                 5.5109,                 5.7305,                 4.1634,                      0,                      0,                      0,                      0,                 5.3109,                 5.1269,                 4.1674,             6.7183e-05,             6.7183e-05,             6.7183e-05
                     17,                 5.5156,                 5.8213,                 4.1682,                      0,                      0,                      0,                      0,                 5.3114,                 5.1328,                 4.1672,             7.0829e-05,             7.0829e-05,             7.0829e-05
                     18,                 5.0854,                 5.6747,                 4.1531,                      0,                      0,                      0,                      0,                 5.3114,                 5.1328,                 4.1672,             7.4371e-05,             7.4371e-05,             7.4371e-05
                     19,                 5.5867,                 5.7303,                 4.2101,                      0,                      0,                      0,                      0,                 5.3125,                 5.1331,                 4.1691,             7.7808e-05,             7.7808e-05,             7.7808e-05
                     20,                 5.5721,                 6.0039,                 4.1714,                      0,                      0,                      0,                      0,                 5.3125,                 5.1331,                 4.1691,             8.1141e-05,             8.1141e-05,             8.1141e-05
                     21,                 5.4947,                 5.8543,                 4.1531,                      0,                      0,                      0,                      0,                 5.3124,                 5.1339,                 4.1708,              8.437e-05,              8.437e-05,              8.437e-05
                     22,                 5.1857,                 5.5493,                 4.1211,                      0,                      0,                      0,                      0,                 5.3124,                 5.1339,                 4.1708,             8.7495e-05,             8.7495e-05,             8.7495e-05
                     23,                 5.5187,                 5.6497,                 4.1119,                      0,                      0,                      0,                      0,                  5.313,                 5.1369,                 4.1723,             9.0516e-05,             9.0516e-05,             9.0516e-05
                     24,                 5.7485,                  5.517,                 4.1302,                      0,                      0,                      0,                      0,                  5.313,                 5.1369,                 4.1723,             9.3433e-05,             9.3433e-05,             9.3433e-05
                     25,                 5.5405,                 5.5932,                 4.0486,                      0,                      0,                      0,                      0,                 5.3134,                 5.1352,                 4.1741,             9.6245e-05,             9.6245e-05,             9.6245e-05
                     26,                 4.9878,                 5.8446,                 4.1129,                      0,                      0,                      0,                      0,                 5.3134,                 5.1352,                 4.1741,             9.8954e-05,             9.8954e-05,             9.8954e-05
                     27,                 5.9179,                 6.3495,                 4.1088,                      0,                      0,                      0,                      0,                  5.315,                 5.1416,                 4.1765,             0.00010156,             0.00010156,             0.00010156
                     28,                 5.3168,                 5.4342,                 4.0929,                      0,                      0,                      0,                      0,                  5.315,                 5.1416,                 4.1765,             0.00010406,             0.00010406,             0.00010406
                     29,                 5.1778,                 5.7623,                 4.0414,                      0,                      0,                      0,                      0,                 5.3161,                  5.146,                 4.1786,             0.00010645,             0.00010645,             0.00010645
                     30,                 5.1493,                 5.3203,                 4.0318,                      0,                      0,                      0,                      0,                 5.3161,                  5.146,                 4.1786,             0.00010875,             0.00010875,             0.00010875
                     31,                 5.2239,                 5.9029,                 4.0653,                      0,                      0,                      0,                      0,                 5.3172,                 5.1488,                 4.1805,             0.00011093,             0.00011093,             0.00011093
                     32,                 5.2487,                 5.6235,                 4.0388,                      0,                      0,                      0,                      0,                 5.3172,                 5.1488,                 4.1805,             0.00011302,             0.00011302,             0.00011302
                     33,                 5.2586,                 5.4205,                 4.0468,                      0,                      0,                      0,                      0,                 5.3167,                 5.1518,                 4.1827,               0.000115,               0.000115,               0.000115
                     34,                 5.6859,                 5.4096,                 4.0304,                      0,                      0,                      0,                      0,                 5.3167,                 5.1518,                 4.1827,             0.00011687,             0.00011687,             0.00011687
                     35,                 5.5414,                 5.7931,                  4.046,                      0,                      0,                      0,                      0,                 5.3177,                 5.1559,                 4.1857,             0.00011864,             0.00011864,             0.00011864
                     36,                  4.742,                 5.4252,                 4.0032,                      0,                      0,                      0,                      0,                 5.3177,                 5.1559,                 4.1857,             0.00012031,             0.00012031,             0.00012031
                     37,                 5.1451,                 5.1478,                 4.0205,                      0,                      0,                      0,                      0,                 5.3204,                  5.164,                 4.1891,             0.00012187,             0.00012187,             0.00012187
                     38,                 5.6233,                 5.5766,                 3.9763,                      0,                      0,                      0,                      0,                 5.3204,                  5.164,                 4.1891,             0.00012333,             0.00012333,             0.00012333
                     39,                 5.0968,                 5.0511,                 4.0064,                      0,                      0,                      0,                      0,                 5.3189,                 5.1731,                  4.192,             0.00012469,             0.00012469,             0.00012469
                     40,                 5.0549,                 5.9864,                 3.8682,                      0,                      0,                      0,                      0,                 5.3189,                 5.1731,                  4.192,             0.00012594,             0.00012594,             0.00012594
                     41,                 4.8549,                 5.3424,                  4.012,                      0,                      0,                      0,                      0,                 5.3213,                 5.1801,                 4.1957,             0.00012708,             0.00012708,             0.00012708
                     42,                 5.5774,                 5.2949,                 3.8549,                      0,                      0,                      0,                      0,                 5.3213,                 5.1801,                 4.1957,             0.00012812,             0.00012812,             0.00012812
                     43,                 4.4476,                 4.9869,                 3.9275,                      0,                      0,                      0,                      0,                 5.3228,                  5.188,                 4.2001,             0.00012906,             0.00012906,             0.00012906
                     44,                 5.5255,                 5.4549,                 3.8989,                      0,                      0,                      0,                      0,                 5.3228,                  5.188,                 4.2001,              0.0001299,              0.0001299,              0.0001299
                     45,                 5.2472,                  5.178,                 3.9703,                      0,                      0,                      0,                      0,                 5.3254,                 5.1963,                 4.2047,             0.00013062,             0.00013062,             0.00013062
                     46,                 4.7409,                 5.4859,                 3.8554,                      0,                      0,                      0,                      0,                 5.3254,                 5.1963,                 4.2047,             0.00013125,             0.00013125,             0.00013125
                     47,                 4.8051,                   5.41,                 3.9356,                      0,                      0,                      0,                      0,                  5.327,                 5.2084,                 4.2098,             0.00013177,             0.00013177,             0.00013177
                     48,                 5.5458,                 6.1597,                 3.7157,                      0,                      0,                      0,                      0,                  5.327,                 5.2084,                 4.2098,             0.00013219,             0.00013219,             0.00013219
                     49,                 4.7672,                 4.9296,                 3.8724,                      0,                      0,                      0,                      0,                 5.3281,                 5.2142,                 4.2149,              0.0001325,              0.0001325,              0.0001325
                     50,                 4.9846,                 4.6361,                 3.6895,                      0,                      0,                      0,                      0,                 5.3281,                 5.2142,                 4.2149,             0.00013271,             0.00013271,             0.00013271
                     51,                 4.4533,                 4.7977,                  3.816,                      0,                      0,                      0,                      0,                 5.3306,                  5.228,                 4.2203,             0.00013281,             0.00013281,             0.00013281
                     52,                 5.1418,                 4.8303,                 3.7017,                      0,                      0,                      0,                      0,                 5.3306,                  5.228,                 4.2203,             0.00013282,             0.00013282,             0.00013282
                     53,                 4.8442,                 4.6381,                 3.7851,                      0,                      0,                      0,                      0,                 5.3306,                  5.228,                 4.2203,             0.00013271,             0.00013271,             0.00013271
                     54,                 4.5398,                 4.7557,                  3.856,                      0,                      0,                      0,                      0,                 5.3339,                 5.2396,                 4.2279,              0.0001325,              0.0001325,              0.0001325
                     55,                 4.7025,                 4.7056,                 3.6969,                      0,                      0,                      0,                      0,                 5.3339,                 5.2396,                 4.2279,             0.00013219,             0.00013219,             0.00013219
                     56,                 4.3027,                 4.7166,                 3.7217,                      0,                      0,                      0,                      0,                 5.3339,                 5.2396,                 4.2279,             0.00013178,             0.00013178,             0.00013178
                     57,                  5.361,                 4.9124,                 3.6889,                      0,                      0,                      0,                      0,                 5.3355,                 5.2534,                 4.2357,             0.00013126,             0.00013126,             0.00013126
                     58,                 4.7259,                 4.5644,                 3.5897,                      0,                      0,                      0,                      0,                 5.3355,                 5.2534,                 4.2357,             0.00013063,             0.00013063,             0.00013063
                     59,                 4.5219,                 5.0686,                 3.6185,                      0,                      0,                      0,                      0,                 5.3355,                 5.2534,                 4.2357,              0.0001299,              0.0001299,              0.0001299
                     60,                 4.8192,                 4.9863,                 3.6166,                      0,                      0,                      0,                      0,                 5.3386,                 5.2697,                 4.2444,             0.00012907,             0.00012907,             0.00012907
                     61,                 4.0176,                 4.4395,                 3.8553,                      0,                      0,                      0,                      0,                 5.3386,                 5.2697,                 4.2444,             0.00012813,             0.00012813,             0.00012813
                     62,                 4.6222,                 4.1628,                 3.6166,                      0,                      0,                      0,                      0,                 5.3386,                 5.2697,                 4.2444,             0.00012709,             0.00012709,             0.00012709
                     63,                  4.516,                 4.3843,                 3.6616,                      0,                      0,                      0,                      0,                  5.342,                 5.2845,                  4.254,             0.00012595,             0.00012595,             0.00012595
                     64,                 4.4835,                 4.9322,                 3.6169,                      0,                      0,                      0,                      0,                  5.342,                 5.2845,                  4.254,              0.0001247,              0.0001247,              0.0001247
                     65,                 4.3661,                 4.8398,                 3.7131,                      0,                      0,                      0,                      0,                  5.342,                 5.2845,                  4.254,             0.00012334,             0.00012334,             0.00012334
                     66,                 4.1406,                  4.387,                 3.7257,                      0,                      0,                      0,                      0,                 5.3454,                 5.2957,                 4.2623,             0.00012189,             0.00012189,             0.00012189
                     67,                 3.7287,                 3.9679,                 3.6209,                      0,                      0,                      0,                      0,                 5.3454,                 5.2957,                 4.2623,             0.00012033,             0.00012033,             0.00012033
                     68,                 4.6382,                 4.1188,                 3.4244,                      0,                      0,                      0,                      0,                 5.3454,                 5.2957,                 4.2623,             0.00011866,             0.00011866,             0.00011866
                     69,                 4.4287,                 4.0038,                 3.4392,                      0,                      0,                      0,                      0,                 5.3484,                 5.3072,                  4.271,             0.00011689,             0.00011689,             0.00011689
                     70,                 4.5055,                 4.7428,                 3.5721,                      0,                      0,                      0,                      0,                 5.3484,                 5.3072,                  4.271,             0.00011502,             0.00011502,             0.00011502
                     71,                  5.276,                 4.8343,                 3.3462,                      0,                      0,                      0,                      0,                 5.3484,                 5.3072,                  4.271,             0.00011304,             0.00011304,             0.00011304
                     72,                 4.5143,                 4.4998,                 3.5392,                      0,                      0,                      0,                      0,                 5.3512,                 5.3187,                 4.2798,             0.00011095,             0.00011095,             0.00011095
                     73,                 4.0639,                 4.1153,                  3.406,                      0,                      0,                      0,                      0,                 5.3512,                 5.3187,                 4.2798,             0.00010877,             0.00010877,             0.00010877
                     74,                 4.1981,                 5.0035,                 3.5594,                      0,                      0,                      0,                      0,                 5.3512,                 5.3187,                 4.2798,             0.00010648,             0.00010648,             0.00010648
                     75,                 4.7978,                 4.8432,                 3.5128,                      0,                      0,                      0,                      0,                 5.3557,                 5.3364,                 4.2915,             0.00010408,             0.00010408,             0.00010408
                     76,                 4.1932,                 4.1275,                 3.5477,                      0,                      0,                      0,                      0,                 5.3557,                 5.3364,                 4.2915,             0.00010158,             0.00010158,             0.00010158
                     77,                  4.508,                 3.9775,                 3.3124,                      0,                      0,                      0,                      0,                 5.3557,                 5.3364,                 4.2915,             9.8981e-05,             9.8981e-05,             9.8981e-05
                     78,                 3.9657,                 4.5386,                 3.5615,                      0,                      0,                      0,                      0,                 5.3594,                  5.352,                 4.3025,             9.6273e-05,             9.6273e-05,             9.6273e-05
                     79,                 4.2802,                 4.2367,                 3.3584,                      0,                      0,                      0,                      0,                 5.3594,                  5.352,                 4.3025,             9.3462e-05,             9.3462e-05,             9.3462e-05
                     80,                 4.1367,                  3.797,                 3.3708,                      0,                      0,                      0,                      0,                 5.3594,                  5.352,                 4.3025,             9.0546e-05,             9.0546e-05,             9.0546e-05
                     81,                 4.2003,                 3.7092,                 3.3641,                      0,                      0,                      0,                      0,                 5.3636,                 5.3667,                 4.3148,             8.7526e-05,             8.7526e-05,             8.7526e-05
                     82,                 4.1317,                 3.7806,                 3.4055,                      0,                      0,                      0,                      0,                 5.3636,                 5.3667,                 4.3148,             8.4402e-05,             8.4402e-05,             8.4402e-05
                     83,                 3.6867,                 4.0754,                 3.5896,                      0,                      0,                      0,                      0,                 5.3636,                 5.3667,                 4.3148,             8.1174e-05,             8.1174e-05,             8.1174e-05
                     84,                 4.0383,                 4.8108,                 3.4196,                      0,                      0,                      0,                      0,                 5.3692,                 5.3882,                 4.3283,             7.7842e-05,             7.7842e-05,             7.7842e-05
                     85,                 4.0617,                 3.5448,                 3.2738,                      0,                      0,                      0,                      0,                 5.3692,                 5.3882,                 4.3283,             7.4406e-05,             7.4406e-05,             7.4406e-05
