Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R13,1k,R_0805_2012Metric,2.064762,-60.845671,90.0,top
R14,1k,R_0805_2012Metric,-1.049047,-60.845671,90.0,top
R15,1k,R_0805_2012Metric,-4.06381,-60.845671,90.0,top
R16,10k,R_0805_2012Metric,-41.25,16.074329,90.0,bottom
R17,10k,R_0805_2012Metric,-36.11,16.074329,90.0,bottom
R18,10k,R_0805_2012Metric,-31.01,16.074329,90.0,bottom
R19,10k,R_0805_2012Metric,-20.84,16.074329,90.0,bottom
R2,1k,R_0805_2012Metric,118.61,-37.065671,0.0,bottom
R20,10k,R_0805_2012Metric,-56.61,-33.268909,0.0,bottom
R21,10k,R_0805_2012Metric,-56.61,-28.055671,0.0,bottom
R22,10k,R_0805_2012Metric,-56.61,-3.565671,0.0,bottom
R23,10k,R_0805_2012Metric,-56.61,1.674329,0.0,bottom
R24,10k,R_0805_2012Metric,-56.61,6.634329,0.0,bottom
R25,10k,R_0805_2012Metric,-56.61,-20.575671,0.0,bottom
R26,10k,R_0805_2012Metric,-56.61,-15.485671,0.0,bottom
R27,10k,R_0805_2012Metric,-56.61,-10.455671,0.0,bottom
R28,10k,R_0805_2012Metric,-43.77,16.074329,90.0,bottom
R29,10k,R_0805_2012Metric,-38.68,16.074329,90.0,bottom
R3,10k,R_0805_2012Metric,150.61,-69.215671,0.0,bottom
R30,10k,R_0805_2012Metric,-33.54,16.074329,90.0,bottom
R31,10k,R_0805_2012Metric,-28.52,16.074329,90.0,bottom
R32,10k,R_0805_2012Metric,-23.4,16.074329,90.0,bottom
R33,10k,R_0805_2012Metric,-18.32,16.074329,90.0,bottom
R34,10k,R_0805_2012Metric,-56.61,-35.585671,0.0,bottom
R35,10k,R_0805_2012Metric,-56.61,-30.66229,0.0,bottom
R36,10k,R_0805_2012Metric,-56.61,-5.985671,0.0,bottom
R37,10k,R_0805_2012Metric,-56.61,-0.905671,0.0,bottom
R38,10k,R_0805_2012Metric,-56.61,4.064329,0.0,bottom
R39,10k,R_0805_2012Metric,-56.61,9.174329,0.0,bottom
R4,10K,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,128.43,-55.065671,-90.0,top
R40,10k,R_0805_2012Metric,-56.61,-23.105671,0.0,bottom
R41,10k,R_0805_2012Metric,-56.61,-18.045671,0.0,bottom
R42,10k,R_0805_2012Metric,-56.61,-12.995671,0.0,bottom
R47,DNP,R_0805_2012Metric,-35.5,-17.985671,270.0,bottom
R48,DNP,R_0805_2012Metric,-37.79,-17.985671,270.0,bottom
R49,DNP,R_0805_2012Metric,-37.17,0.424329,90.0,bottom
R5,3.3K,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.59,-55.055671,90.0,top
R50,DNP,R_0805_2012Metric,-39.4,0.414329,90.0,bottom
R51,10k,R_0805_2012Metric,49.47,4.871829,90.0,top
R52,10k,R_0805_2012Metric,107.49,-4.475671,-90.0,top
R53,1k,R_0805_2012Metric,56.45,4.701829,90.0,top
R54,1k,R_0805_2012Metric,106.13,2.796829,-90.0,top
R55,170R,R_2512_6332Metric,-67.049999,-0.155671,90.0,top
R56,170R,R_2512_6332Metric,-69.7,-59.540671,-90.0,top
R57,170R,R_2512_6332Metric,71.5375,-24.765671,0.0,top
R58,170R,R_2512_6332Metric,-67.849999,-36.255671,90.0,top
R59,170R,R_2512_6332Metric,8.450001,-98.565671,180.0,top
R6,10K,R_0805_2012Metric,16.07,-65.735671,90.0,top
R60,170R,R_2512_6332Metric,-37.560478,-98.565671,180.0,top
R61,170R,R_2512_6332Metric,19.712499,-3.515672,180.0,top
R62,170R,R_2512_6332Metric,-31.513208,2.034329,180.0,top
R63,170R,R_2512_6332Metric,-26.287499,-70.415672,180.0,top
R64,170R,R_2512_6332Metric,115.299999,-14.015671,0.0,top
R65,170R,R_2512_6332Metric,132.537664,2.557452,0.0,top
R66,170R,R_2512_6332Metric,127.409999,-97.740671,0.0,top
R67,170R,R_2512_6332Metric,48.407498,18.279329,0.0,top
R68,170R,R_2512_6332Metric,53.4625,-71.765671,180.0,top
R69,170R,R_2512_6332Metric,139.379999,22.924329,0.0,top
R7,1k,R_0805_2012Metric,-7.57,-60.845671,90.0,top
R70,170R,R_2512_6332Metric,84.5375,-55.765671,0.0,top
R71,170R,R_2512_6332Metric,-21.620001,-31.730671,0.0,top
R72,170R,R_2512_6332Metric,146.499999,-22.765671,0.0,top
R73,170R,R_2512_6332Metric,88.5,-85.765671,-90.0,top
R74,170R,R_2512_6332Metric,98.4625,7.23433,180.0,top
R75,1k,R_0805_2012Metric,69.745,-8.665671,0.0,bottom
R76,1k,R_0805_2012Metric,12.26,24.634329,270.0,bottom
R77,10k,R_0805_2012Metric,69.765,-1.845671,180.0,bottom
R78,10k,R_0805_2012Metric,5.8525,24.441829,90.0,bottom
R79,10k,R_0805_2012Metric,118.40125,-31.965671,90.0,bottom
R8,1k,R_0805_2012Metric,-11.05,-60.845671,90.0,top
R80,1k,R_0805_2012Metric,12.26,31.164329,90.0,bottom
R81,1k,R_0805_2012Metric,125.39,-32.075671,270.0,bottom
R82,10k,R_0805_2012Metric,18.69,31.174329,270.0,bottom
R83,DNP,R_0805_2012Metric,0.48,0.666829,270.0,bottom
R84,DNP,R_0805_2012Metric,2.67,0.666829,270.0,bottom
R85,DNP,R_0805_2012Metric,1.97,-17.475671,90.0,bottom
R86,DNP,R_0805_2012Metric,4.11,-17.485671,90.0,bottom
R9,1k,R_0805_2012Metric,11.592381,-60.845671,90.0,top
RJ1,0R,R_2512_6332Metric,111.93,23.534329,0.0,bottom
SW1,SW_Push,SW_TS-1187A-B-A-B,23.68,-66.695671,0.0,top
SW2,Days,SW_DS04-254-2-07BK-SMT,-36.11,24.491829,90.0,bottom
SW3,Power,SW_DS04-254-2-03BK-SMT,-20.85,24.521829,90.0,bottom
SW4,Sequence+Toggle,SW_DS04-254-2-04BK-SMT,-66.55,-31.795671,0.0,bottom
SW5,Hours,SW_DS04-254-2-07BK-SMT,-66.55,1.614329,0.0,bottom
