Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R64,10k,R0603,147.5,-84.765671,90.0,bottom
R65,10k,R0603,145.5,-84.765671,90.0,bottom
R66,1k,R_0805_2012Metric,128.0,-22.265671,-90.0,top
R69,10k,R_0805_2012Metric,133.5,-17.765671,0.0,top
R7,FRC0805F30R0TS,R0805,20.0,7.734329,-90.0,top
R75,1k,R_0805_2012Metric,135.5,0.234329,180.0,top
R76,1k,R_0805_2012Metric,111.4325,29.024329,0.0,top
R77,10k,R_0805_2012Metric,137.1925,6.564329,180.0,top
R78,10k,R_0805_2012Metric,106.5,31.734329,-90.0,top
R79,1k,R_0805_2012Metric,12.5,28.234329,-90.0,top
R8,FRC0805F30R0TS,R0805,-64.5,-48.265671,180.0,top
R80,1k,R_0805_2012Metric,141.0875,-7.765671,180.0,top
R81,10k,R_0805_2012Metric,10.0,32.734329,-90.0,top
R82,10k,R_0805_2012Metric,141.0775,-15.195671,-90.0,top
R9,FRC0805F30R0TS,R0805,-45.0,-26.765671,180.0,top
U1,Days,SW-SMD_SMXS-08K-TP,78.0,26.734329,180.0,bottom
U10,IRF9335TRPBF,SOIC-8_3.9x4.9mm_P1.27mm,150.5,5.734329,0.0,top
U11,IRF9335TRPBF,SOIC-8_3.9x4.9mm_P1.27mm,101.0,32.234329,180.0,top
U12,IRF9335TRPBF,SOIC-8_3.9x4.9mm_P1.27mm,4.5,31.734329,180.0,top
U13,IRF9335TRPBF,SOIC-8_3.9x4.9mm_P1.27mm,149.0775,-29.695671,180.0,bottom
U16,Female Inv Socket Pi 2.54-2*20,HDR-TH_40P-P2.54-H-F-R2-C20-W8.5,-26.5,2.516829,180.0,bottom
U17,GPs 5 pin PM2.54-1*5,GPS5pin_HDR-TH_5P-P2.54-V-F,90.5,-15.065671,180.0,bottom
U19,INA219BIDCNT,SOT-23-8_L3.0-W1.7-P0.65-LS2.8-BR,142.5,-84.765671,90.0,bottom
U2,Hours1,SW-SMD_SMXS-08K-TP,130.69,26.734329,180.0,bottom
U3,XL4015E1,TO-263-5_L10.2-W8.9-P1.70-TL,127.0,-77.765671,0.0,bottom
U5,RASPBERRY_PI_5,EPAPER_PinHeader_2x20_P2.54mm_Vertical,-26.63,-4.995671,90.0,bottom
U6,Hours2,SW-SMD_SMXS-08K-TP,107.5,26.734329,180.0,bottom
U7,Modes,SW-SMD_SMXS-08K-TP,55.0,26.734329,180.0,bottom
U8,CD74HC4067M96E4,SOIC-24_L15.4-W7.5-P1.27-LS10.3-BL,65.5,9.734329,270.0,bottom
U9,CD74HC4067M96E4,SOIC-24_L15.4-W7.5-P1.27-LS10.3-BL,120.5,9.234329,270.0,bottom
