                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.451,                 5.2693,                 4.2541,                      0,                      0,                      0,                      0,                 4.0377,                 5.3486,                 4.1581,                 0.0002,                 0.0002,                 0.0002
                      2,                 3.6539,                 4.3585,                 4.0224,                      0,                      0,                      0,                      0,                 4.0454,                 5.3324,                 4.1651,             0.00041584,             0.00041584,             0.00041584
                      3,                 2.8888,                 3.5307,                  3.695,                      0,                      0,                      0,                      0,                 4.0714,                  5.271,                 4.1927,             0.00062733,             0.00062733,             0.00062733
                      4,                 2.4396,                  3.103,                 3.2579,                      0,                      0,                      0,                      0,                  4.136,                 4.7892,                 4.2689,             0.00083446,             0.00083446,             0.00083446
                      5,                 2.2607,                 2.7014,                 2.8254,                      0,                      0,                      0,                      0,                 4.1781,                 4.3184,                 4.3351,              0.0010372,              0.0010372,              0.0010372
                      6,                  2.038,                 2.4483,                 2.5899,                      0,                      0,                      0,                      0,                 4.1329,                 4.3239,                 4.2909,              0.0012357,              0.0012357,              0.0012357
                      7,                 1.9961,                 2.3984,                 2.5786,                      0,                      0,                      0,                      0,                 4.1594,                 4.5356,                 4.3321,              0.0014297,              0.0014297,              0.0014297
                      8,                 1.8884,                 2.1732,                 2.3721,                      0,                      0,                      0,                      0,                 4.1109,                 4.6946,                 4.2712,              0.0016194,              0.0016194,              0.0016194
                      9,                 1.8578,                 1.9811,                  2.259,                 0.0195,                0.08011,                0.01088,                 0.0043,                 3.4875,                 4.1403,                 3.8692,              0.0018048,              0.0018048,              0.0018048
                     10,                 1.8014,                 1.7921,                 2.2011,                0.62392,                0.14666,                0.22852,                0.09176,                 2.4179,                 3.4548,                 3.2601,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7829,                 1.7234,                 2.2426,                0.82178,                0.25691,                0.35643,                0.18311,                 2.0142,                 2.7824,                 2.7761,               0.001802,               0.001802,               0.001802
                     12,                 1.7049,                 1.5526,                 2.0567,                  0.902,                0.27624,                0.47643,                0.23239,                  1.915,                 2.5255,                 2.6116,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6419,                 1.5601,                 2.0651,                0.76629,                0.46685,                0.53774,                0.27854,                 1.7485,                 1.8994,                 2.3874,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6905,                 1.5019,                 2.0255,                0.72203,                0.40884,                0.45876,                 0.2402,                 1.7474,                 2.2311,                 2.3697,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.672,                  1.388,                 2.0259,                0.75515,                0.53591,                0.67251,                0.35558,                 1.7103,                 1.8492,                 2.2849,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6907,                 1.3538,                 1.9694,                0.88251,                0.60173,                0.73404,                0.36647,                  1.677,                 1.6698,                 2.2581,               0.001703,               0.001703,               0.001703
                     17,                 1.6536,                 1.4172,                 2.0329,                 0.8039,                 0.6002,                 0.7117,                0.38542,                 1.6485,                 1.6553,                 2.1965,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.5978,                 1.2821,                 1.9946,                0.90263,                 0.5378,                0.68552,                0.32029,                 1.8336,                 1.6805,                 2.3422,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6417,                 1.2987,                 1.9696,                0.82132,                0.60221,                0.70379,                0.37579,                 1.7329,                   1.53,                 2.2348,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.5949,                  1.236,                  1.945,                0.83479,                0.55249,                0.66348,                0.36393,                 1.7145,                 1.6158,                 2.2267,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6072,                  1.254,                 1.9641,                0.80411,                0.17956,                0.24478,                0.13453,                 1.9875,                 2.3129,                 2.5661,               0.001604,               0.001604,               0.001604
                     22,                 1.6253,                 1.1984,                 1.9159,                0.94639,                0.19509,                0.27776,                0.14252,                 2.0003,                 2.0235,                 2.5164,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5427,                 1.1767,                 1.8736,                0.86614,                 0.6326,                0.75862,                0.42759,                 1.5517,                   1.35,                   2.11,              0.0015644,              0.0015644,              0.0015644
