                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4499,                  5.269,                 4.2544,                      0,                      0,                      0,                      0,                 4.0377,                 5.3486,                 4.1581,                 0.0002,                 0.0002,                 0.0002
                      2,                 3.7449,                 4.4691,                 4.0328,                      0,                      0,                      0,                      0,                 4.0449,                 5.3294,                 4.1635,             0.00041584,             0.00041584,             0.00041584
                      3,                 2.9119,                 3.5118,                  3.711,                      0,                      0,                      0,                      0,                 4.0715,                 5.1958,                  4.193,             0.00062733,             0.00062733,             0.00062733
                      4,                 2.3819,                 3.0073,                 3.2293,                      0,                      0,                      0,                      0,                 4.1232,                 5.1999,                 4.2522,             0.00083446,             0.00083446,             0.00083446
                      5,                 2.1965,                 2.5761,                 2.7696,                      0,                      0,                      0,                      0,                 4.1679,                 4.7903,                  4.329,              0.0010372,              0.0010372,              0.0010372
                      6,                 2.0401,                 2.4406,                 2.6081,                      0,                      0,                      0,                      0,                 4.1457,                 4.4636,                 4.3069,              0.0012357,              0.0012357,              0.0012357
                      7,                 2.0275,                 2.2228,                 2.5753,                      0,                      0,                      0,                      0,                 4.1555,                 4.5276,                 4.3298,              0.0014297,              0.0014297,              0.0014297
                      8,                 1.8641,                 1.9811,                 2.3297,                      0,                      0,                      0,                      0,                 4.1031,                  4.651,                 4.2633,              0.0016194,              0.0016194,              0.0016194
                      9,                 1.8286,                 1.8434,                 2.2157,                0.00161,                0.00552,                0.00081,                0.00045,                 4.1214,                 4.7116,                 4.2867,              0.0018048,              0.0018048,              0.0018048
                     10,                  1.833,                 1.7038,                 2.2036,                0.69538,                0.13536,                0.21237,                0.09323,                 2.4691,                  3.684,                 3.2006,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.787,                 1.6919,                 2.2173,                 0.0273,                0.09669,                0.06015,                0.02897,                 2.0937,                 3.2016,                 2.8703,               0.001802,               0.001802,               0.001802
                     12,                 1.7248,                 1.5711,                 2.0643,                0.36902,                0.16575,                0.18632,                0.09412,                 1.9097,                 2.8561,                 2.6375,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6381,                 1.4589,                  2.057,                0.67775,                0.41713,                0.48501,                0.22654,                 1.8145,                 2.0852,                 2.4414,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.7073,                 1.4931,                 2.0322,                0.62259,                0.44475,                0.48164,                0.22929,                 1.7183,                 2.0259,                 2.3527,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.6942,                 1.3422,                 2.0105,                0.56188,                0.24033,                0.24974,                0.12713,                 2.2041,                 2.8718,                 2.9867,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6707,                  1.325,                 1.9449,                 0.6845,                0.59945,                0.65517,                0.34685,                 1.6861,                 1.7247,                 2.2541,               0.001703,               0.001703,               0.001703
                     17,                 1.6556,                 1.3688,                 1.9895,                0.71555,                0.60457,                0.65809,                0.35199,                 1.6266,                 1.6275,                 2.2111,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6001,                 1.2426,                 1.9833,                0.75694,                0.59359,                0.69526,                0.36838,                 1.6668,                 1.5714,                 2.2071,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6676,                 1.2601,                 1.9598,                  0.779,                0.59392,                0.71228,                0.36893,                 1.7528,                 1.4879,                  2.224,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.5867,                 1.1814,                 1.9225,                0.82859,                0.62155,                0.73554,                0.40902,                 1.6773,                 1.4271,                 2.2046,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.5987,                 1.2236,                 1.9453,                0.59956,                0.18508,                0.20769,                0.12026,                 2.1096,                 2.1954,                 2.6493,               0.001604,               0.001604,               0.001604
                     22,                 1.5651,                  1.161,                 1.8859,                0.85147,                0.67127,                0.79207,                0.44127,                 1.5052,                 1.4409,                 2.1104,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5282,                  1.158,                  1.844,                0.81756,                0.66846,                 0.7965,                0.42604,                 1.5777,                  1.233,                 2.1024,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.5189,                 1.0838,                 1.8587,                0.81781,                0.46685,                0.54596,                0.29759,                 1.5958,                 1.3388,                 2.1273,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4762,                0.98412,                 1.8008,                0.85389,                0.73757,                0.82668,                0.44645,                 1.5255,                 1.0458,                 2.0963,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.5426,                 1.0598,                 1.8905,                0.81843,                0.68508,                0.79137,                0.42243,                 1.5376,                 1.1618,                 2.1355,               0.001505,               0.001505,               0.001505
                     27,                 1.5493,                 1.0718,                  1.897,                0.87496,                0.70166,                0.82094,                0.44138,                 1.5509,                 1.0387,                 2.1113,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.4996,                0.97518,                 1.7732,                0.84164,                0.70166,                0.80896,                0.42815,                 1.5367,                 1.1212,                 2.1251,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.5071,                 1.0122,                 1.8354,                 0.5477,                0.27624,                0.29625,                0.13294,                 2.1645,                 2.6531,                 2.7618,              0.0014456,              0.0014456,              0.0014456
                     30,                  1.473,                0.92715,                 1.8139,                0.87172,                0.75089,                0.85177,                0.48574,                 1.4921,                0.97239,                 2.0287,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.4945,                0.97228,                 1.7811,                0.84095,                0.62804,                0.77941,                0.43165,                 1.5297,                 1.1329,                 2.0478,               0.001406,               0.001406,               0.001406
                     32,                 1.4767,                   0.96,                 1.8665,                0.84134,                0.68232,                0.77406,                 0.4126,                 1.5918,                 1.0532,                 2.0836,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.5027,                0.91425,                 1.8284,                0.76905,                0.55249,                0.65408,                0.34462,                 1.6351,                 1.2661,                 2.1624,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.4365,                0.92181,                 1.8262,                0.87039,                0.59362,                 0.7402,                0.40156,                 1.7516,                 1.4318,                 2.2333,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.4945,                0.96107,                 1.7722,                0.88549,                0.72627,                 0.8403,                0.45835,                 1.4783,                0.97781,                 2.0547,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4971,                0.97412,                 1.8396,                0.74761,                0.22928,                 0.2684,                0.15088,                 1.9168,                 2.3906,                 2.4246,               0.001307,               0.001307,               0.001307
                     37,                 1.4767,                0.91559,                 1.7819,                0.91411,                0.74586,                0.84507,                0.48213,                 1.5493,                 1.0142,                  2.042,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4262,                0.87339,                  1.694,                0.84409,                0.79006,                0.87349,                0.49539,                  1.452,                0.92278,                  2.007,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.4252,                0.87756,                 1.7397,                0.84763,                0.76838,                0.83839,                0.48196,                 1.4819,                0.97096,                  2.003,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.4263,                0.87346,                 1.7892,                 0.8976,                 0.7022,                0.82202,                0.47809,                  1.447,                0.93428,                 1.9909,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4223,                0.85037,                 1.7209,                0.85647,                0.79125,                0.88084,                0.51077,                 1.4457,                0.85179,                 2.0372,               0.001208,               0.001208,               0.001208
